"GLUTEN","SV","ASHCONTENT","AIA","BrokenStarch","MOISTURE","GRANLARITY","BiscuitPasteActual","ABCActual","WaterActual","DoughMoisture","Temperature","WetWeight","Zone1","Zone2","Zone3","Zone4","SteamDamper1","SteamDamper2","SteamDamper3","SteamDamper4"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","15.01","1.305","11.04","10.369409746821","30","80.733","182","238.5","214.1","129.3","0","10","30","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20","1.301","21.01","9.6129460967332","29","81.067","188.1","232.8","219.9","135","0","10","30","30"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20.01","1.299","21.18","9.6048679572453","30","81.133","188.1","232.7","219.3","134.9","0","10","30","30"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20.01","1.303","21.01","9.6123521188069","30","80.733","188.1","232.8","217.7","134.8","0","10","30","30"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20.04","1.301","17.01","9.7958079934351","30","81","173.6","235.5","213.7","125.7","0","10","30","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20.06","1.302","21.01","9.6099385979515","31","80.267","188.1","232.8","217.6","134.8","0","10","30","30"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20.11","1.303","17.55","9.7667173142855","30","80.533","185.6","235.6","212.7","125.7","0","10","30","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","20.32","1.3","21.01","9.597247184437","29","80.867","187.5","235.6","214.9","126.4","0","10","30","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","22.94","1.305","11.06","9.9297773991645","30","80.933","182.1","238.5","213.2","129.7","0","10","30","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","30","1.3","11.02","9.57212629741","30","81.167","174.6","222","214.4","125.7","0","10","60","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","30.17","1.319","11.05","9.5614877148107","30","81.133","182.1","238.6","213.2","129.6","0","10","30","40"
"9.40465","20.5","0.7036","0.03465","5.69495","12.188","91.532","45.36","1.315","11.01","8.8742576867914","30","80.567","182","238.5","214.5","129.5","0","10","30","40"
"10.0575","20.5","0.72425","0.02635","9.42725","13.10525","87.37595","30","1.049","12.08","10.2474249168","30","80.6","163.6","220.2","205.1","134.3","0","20","40","30"
"10.0575","20.5","0.72425","0.02635","9.42725","13.10525","87.37595","30","1.499","12.05","10.224799278112","30","80.867","171.7","220.3","209.7","134.4","0","20","40","30"
"10.0575","20.5","0.72425","0.02635","9.42725","13.10525","87.37595","30","1.5","10","10.324538664502","30","80.633","173.8","215.6","204.8","131.1","0","20","40","30"
